prompt_id,input_tokens,output_tokens,runtime_seconds,energy_joules,tin_tout
209,9,59,1.627092361450195,311.7525,531
210,12,62,1.814728021621704,344.963,744
211,10,60,1.507863998413086,295.30600000000004,600
212,11,61,1.9683237075805664,348.6725,671
213,11,61,1.585529088973999,368.296,671
214,20,70,1.831279993057251,349.642,1400
215,18,68,1.6492347717285156,363.1115,1224
216,10,60,1.8268113136291504,340.83000000000004,600
217,12,62,1.7117478847503662,359.76050000000004,744
218,8,58,1.669356107711792,361.328,464
219,12,29,0.5712618827819824,181.415,348
220,12,62,1.4942429065704346,287.6775,744
221,11,61,1.427563190460205,274.947,671
222,9,59,1.5707073211669922,322.23299999999995,531
223,11,61,1.596198320388794,359.02000000000004,671
224,10,44,1.105207443237305,256.6765,440
225,13,63,1.523888349533081,321.211,819
226,12,62,1.5522503852844238,349.72349999999994,744
227,9,59,1.6864700317382812,344.047,531
228,10,60,1.650590181350708,356.11,600
229,9,59,1.6487438678741455,339.984,531
230,10,60,1.4919910430908203,219.84,600
231,13,63,1.4749667644500732,258.42,819
232,5,55,1.7310740947723389,330.516,275
233,9,59,1.4570934772491455,255.7045,531
234,12,62,1.7008416652679443,297.87350000000004,744
235,11,61,1.5679891109466553,344.3045,671
236,11,61,1.7269620895385742,340.3335,671
237,13,63,1.6150953769683838,353.88,819
238,11,55,1.6387808322906494,334.3,605
239,30,80,1.6764473915100098,386.6925,2400
240,18,68,1.56126070022583,343.08500000000004,1224
241,28,78,1.7336783409118652,329.2225,2184
242,11,61,1.5256445407867432,371.4475,671
243,11,61,1.747453212738037,340.751,671
244,13,63,1.740349531173706,389.9885,819
245,15,65,1.5876007080078125,348.355,975
246,11,61,1.7166497707366943,320.4295,671
247,11,61,1.4923710823059082,274.4805,671
248,11,61,1.5538482666015625,357.77700000000004,671
249,18,68,1.4354548454284668,285.706,1224
250,14,64,1.442392110824585,235.1995,896
251,13,63,1.538532018661499,324.084,819
252,10,60,1.6155517101287842,361.97100000000006,600
253,9,59,1.649003028869629,325.8445,531
254,14,64,1.6662044525146484,360.9405,896
255,9,59,1.5157585144042969,315.015,531
256,15,65,1.833393096923828,350.132,975
257,9,59,1.5726447105407717,367.167,531
258,9,59,1.6456842422485352,341.7975,531
259,14,64,1.7650206089019775,300.377,896
260,10,60,1.5251197814941406,349.716,600
261,10,60,1.6346063613891602,325.5405,600
262,14,64,1.6391923427581787,390.5515,896
263,13,63,1.6114282608032229,372.0785,819
264,10,60,1.6872401237487793,360.822,600
265,17,67,1.6087934970855713,353.862,1139
266,12,62,1.5838501453399658,370.7125,744
267,14,64,1.517103910446167,349.717,896
268,9,59,1.5241382122039795,324.1065,531
269,12,62,1.548485517501831,396.679,744
270,11,61,1.7809083461761477,296.033,671
271,13,47,1.0914616584777832,256.562,611
272,9,59,1.4835870265960691,254.368,531
273,10,60,1.4304909706115725,239.115,600
274,11,42,1.0119993686676023,285.492,462
275,9,59,1.409123420715332,261.6,531
276,14,64,1.5319290161132812,316.311,896
277,8,58,1.6558856964111328,377.265,464
278,15,65,1.927558422088623,356.612,975
279,7,57,1.6716532707214355,356.9875,399
280,9,59,1.79756498336792,356.90450000000004,531
281,13,51,1.323676586151123,255.933,663
282,10,60,1.7991812229156494,331.9605,600
283,7,42,1.140254259109497,257.4455,294
284,10,60,1.6365575790405271,361.6565,600
285,9,59,1.4826505184173584,285.68,531
286,11,61,1.498258352279663,249.38550000000004,671
287,10,60,1.415034532546997,267.1255,600
288,11,61,1.7273523807525637,294.8175,671
289,9,59,1.646500587463379,356.7655,531
290,13,63,1.570812463760376,321.432,819
291,14,35,0.6864535808563232,183.249,490
292,16,66,1.7987546920776367,327.0775,1056
293,13,63,1.6492767333984375,357.9,819
294,19,69,1.7670071125030518,352.753,1311
295,13,63,1.5179095268249512,340.7765,819
296,13,63,1.6042096614837646,361.82900000000006,819
297,12,62,1.4186069965362549,264.5175,744
298,12,62,1.5220825672149658,317.612,744
299,11,61,1.6056947708129885,358.18750000000006,671
300,14,64,1.5082097053527832,276.79400000000004,896
301,13,63,1.6063385009765625,347.373,819
302,11,61,1.6100740432739258,379.944,671
303,11,61,1.787266492843628,363.697,671
304,7,57,1.731487512588501,353.514,399
305,13,63,1.3525612354278564,277.832,819
306,16,66,1.510420799255371,314.6415,1056
307,15,65,1.4483919143676758,261.391,975
308,15,65,1.5262815952301023,386.085,975
309,18,68,1.4965028762817385,273.77250000000004,1224
310,15,65,1.45711350440979,286.8145,975
311,16,66,1.541438102722168,338.139,1056
312,30,80,1.431309461593628,289.57550000000003,2400
313,14,64,1.3880198001861572,281.0375,896
314,11,61,1.5923755168914795,401.164,671
315,8,44,1.0627310276031494,276.8725,352
316,11,61,1.5906531810760498,335.547,671
317,10,60,1.5728135108947754,354.12750000000005,600
318,14,64,1.534881353378296,359.765,896
319,7,57,1.5956783294677734,335.2185,399
320,9,59,1.5726311206817627,354.6625,531
321,10,60,1.6439852714538574,346.7045,600
322,9,59,1.7719058990478516,375.782,531
323,10,60,1.517181396484375,330.7065,600
324,13,63,1.491194248199463,272.708,819
325,15,65,1.4306716918945312,282.934,975
326,12,62,1.4728589057922363,257.533,744
327,13,63,1.4354393482208252,272.475,819
328,12,62,1.405116081237793,271.23800000000006,744
329,11,61,1.594728708267212,345.4725,671
330,9,30,0.741490364074707,183.53,270
331,10,60,1.568159580230713,355.18549999999993,600
332,9,59,1.824972152709961,375.8775,531
333,14,39,0.8146519660949707,180.8495,546
334,16,66,1.7117977142333984,341.7075,1056
335,9,59,1.6963655948638916,378.435,531
336,13,40,0.947526216506958,188.402,520
337,11,61,1.4055814743041992,276.171,671
338,12,62,1.6521685123443604,363.4365,744
339,10,60,1.623487949371338,355.3775,600
340,19,69,1.9730644226074217,330.0575,1311
341,10,60,1.852154016494751,347.6755,600
342,9,59,1.6775550842285156,380.7365,531
343,13,55,1.7186203002929688,370.245,715
344,16,66,1.621417999267578,346.989,1056
345,13,63,1.7668287754058838,365.189,819
346,12,61,1.8353896141052248,363.225,732
347,16,66,1.8771955966949463,339.44999999999993,1056
348,12,62,1.7923369407653809,348.46450000000004,744
349,12,62,1.4891610145568848,242.5485,744
350,10,60,1.6412451267242432,309.14750000000004,600
351,18,68,1.447533130645752,253.978,1224
352,7,57,1.656306505203247,336.6945,399
353,12,62,1.5506987571716309,346.80350000000004,744
354,13,63,1.6689012050628662,376.097,819
355,11,61,1.7760400772094729,381.87750000000005,671
356,12,62,1.7717466354370115,341.499,744
357,15,31,0.6393182277679443,186.872,465
358,16,66,1.530711650848389,353.51,1056
359,13,63,1.5475378036499023,377.6715,819
360,10,60,1.440316915512085,267.275,600
361,11,61,1.5966031551361084,348.25100000000003,671
362,11,61,1.7561419010162354,317.666,671
363,10,60,1.629152774810791,373.004,600
364,13,63,1.5018510818481443,228.829,819
365,13,63,1.5340735912322998,358.23850000000004,819
366,14,64,1.580073595046997,346.8845,896
367,22,72,1.8267920017242432,354.8625,1584
368,14,64,1.656666278839111,357.133,896
369,12,62,1.812055349349976,340.3725,744
370,22,54,1.016627311706543,269.686,1188
371,11,61,1.577666997909546,340.785,671
372,12,62,1.5198540687561035,365.8965,744
373,10,60,1.7573645114898682,372.851,600
374,7,33,0.8574578762054443,154.84199999999998,231
375,10,60,1.418119192123413,274.6305,600
376,7,57,1.517676830291748,336.838,399
377,14,64,1.5086238384246826,268.415,896
378,12,62,1.7405307292938232,373.2515,744
379,10,60,1.7705740928649902,359.85450000000003,600
380,21,71,1.7158432006835938,372.715,1491
381,10,60,1.85984206199646,354.583,600
382,11,61,1.7854399681091309,365.311,671
383,11,61,1.69866943359375,346.825,671
384,10,60,1.7534692287445068,370.05,600
385,7,57,1.6332075595855713,299.647,399
386,11,61,1.9615693092346191,319.8815,671
387,8,58,1.562638759613037,380.61800000000005,464
388,7,57,1.61421537399292,367.971,399
389,12,62,1.455078125,291.7655,744
390,10,60,1.403623104095459,257.056,600
391,13,63,1.478302001953125,256.553,819
